X,Y
37.010583,36.230388
36.960208,36.233012
36.940488,36.236692
36.882516,36.245304
36.83015,36.302303
37.034252,35.902583
37.053371,36.07585
36.966209,36.036569
37.005402,36.031293
36.886691,35.958836
36.987681,35.892176
36.972773,35.87824
36.938334,35.995586
36.901511,35.980147
36.92292,35.923357
36.982185,35.948185
36.921003,35.964671
36.968407,35.97471
36.937852,36.085488
36.953321,35.891436
36.873158,35.98316
37.012243,36.058458
36.984873,35.860187
36.89108,36.013158
36.978917,36.070077
37.028771,35.860118
36.977798,35.919457
37.023944,35.931481
36.93482,36.045327
36.925293,35.946188
36.915393,36.025285
36.946799,35.970369
36.987884,36.107889
37.018122,35.829821
37.050988,36.059789
36.967379,36.096527
37.029605,35.969981
37.097642,35.920289
37.105051,35.999129
37.084705,35.949296
36.99947,35.995031
37.051558,35.990792
37.009043,35.956557
37.017547,35.942641
37.124024,35.983857
37.060816,36.005905
37.066347,35.918811
37.03342,35.941194
37.087691,36.017787
37.377301,36.373948
37.440179,36.433296
37.5661,36.383375
37.397826,36.370954
37.477902,36.480897
37.40406,36.409327
37.453096,36.532386
37.608109,36.396211
37.368169,36.231901
37.447706,36.517201
37.413553,36.430631
37.376387,36.263551
37.475316,36.438952
37.481779,36.514024
37.579635,36.409649
37.363483,36.352657
37.514925,36.369722
37.395538,36.281238
37.48418,36.418204
37.386681,36.343494
37.387555,36.457725
37.330551,36.344416
37.427228,36.358587
37.566282,36.433731
37.350245,36.275363
37.514538,36.410757
37.43147,36.40369
37.433225,36.462799
37.50146,36.462677
37.424085,36.294425
37.387355,36.262179
37.365625,36.283916
37.359245,36.287368
37.34828,36.292745
37.349592,36.298126
37.315943,36.31812
37.441769,36.369069
37.392615,36.3756
37.39372,36.381362
37.354891,36.398094
37.46711,36.427724
37.501172,36.533213
37.380225,36.273457
37.379684,36.282518
37.343475,36.287697
37.4605,36.330935
37.406061,36.332659
37.455503,36.34298
37.437019,36.378444
37.462835,36.384755
37.466663,36.396273
37.375627,36.398515
37.616135,36.407762
37.606979,36.419827
37.511107,36.525057
37.542914,36.297491
37.639142,36.305046
37.67504,36.297622
37.523013,36.336704
37.529384,36.347927
37.617009,36.370886
37.443834,36.306587
37.478122,36.294507
37.649512,36.326659
37.696875,36.303286
37.526962,36.316041
37.593559,36.306928
37.595136,36.272645
37.546697,36.259847
37.485589,36.276842
37.399254,36.252619
37.599287,36.354232
37.497219,36.245352
37.704489,36.317843
37.648427,36.273702
37.641217,36.362713
37.579259,36.244277
37.60733,36.345499
37.630962,36.249475
37.43796,36.252696
37.579993,36.255969
37.590417,36.256034
37.647505,36.25777
37.574103,36.268858
37.623634,36.271699
37.530078,36.274469
37.544828,36.276381
37.627868,36.283317
37.469202,36.310666
37.596352,36.325002
37.630832,36.346885
37.606784,36.376826
37.596122,36.379292
37.59329,36.381232
37.595301,36.111665
37.666434,36.101852
37.617853,36.112848
37.685827,36.13981
37.709287,36.156028
37.612263,36.148532
37.6474,36.171998
37.665948,36.119668
37.648098,36.113858
37.649894,36.146614
37.672595,36.138945
37.641561,36.106426
37.426477,36.585861
37.570882,36.581033
37.548898,36.622441
37.446391,36.612478
37.662396,36.557436
37.598834,36.713948
37.640098,36.554944
37.620679,36.661501
37.632345,36.608066
37.460872,36.552881
37.560438,36.611592
37.639391,36.71241
37.452802,36.586426
37.521096,36.56619
37.535113,36.688206
37.546356,36.681492
37.626271,36.574398
37.508581,36.601067
37.633258,36.673406
37.602755,36.618059
37.483455,36.551496
37.594592,36.661601
37.66874,36.599007
37.520856,36.668118
37.484125,36.573339
37.583453,36.700343
37.490107,36.622143
37.536392,36.660974
37.386255,36.609579
37.644949,36.696188
37.599682,36.696385
37.652838,36.556926
37.517317,36.591429
37.418309,36.612184
37.413158,36.632614
37.406971,36.635933
37.501272,36.6387
37.429534,36.184872
37.557551,36.197566
37.528595,36.151028
37.441161,36.194833
37.51265,36.083205
37.546209,36.128033
37.509766,36.179341
37.46727,36.139528
37.485789,36.148417
37.525389,36.191366
37.598366,36.136959
37.463695,36.21135
37.457622,36.238914
37.490251,36.136999
37.41102,36.23043
37.507856,36.120435
37.576045,36.127495
